old_name,new_name,provenance,life_stage,sex,sample_num
IT_AD4_F1_CGATGT_L005_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,IT_AD4_F1,1,4,2,1
IT_AD4_F2_TGACCA_L005_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,IT_AD4_F2,1,4,2,2
IT_AD4_F3_ACAGTG_L005_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,IT_AD4_F3,1,4,2,3
IT_AD4_F3_ACAGTG_L007_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,IT_AD4_F4,1,4,2,4
IT_AD4_M1_GCCAAT_L005_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,IT_AD4_M1,1,4,1,1
IT_AD4_M2_CAGATC_L005_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,IT_AD4_M2,1,4,1,2
IT_AD4_M3_CTTGTA_L005_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,IT_AD4_M3,1,4,1,3
IT_AD4_M3_CTTGTA_L008_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,IT_AD4_M4,1,4,1,4
NC_AD4_F1_AGTCAA_L002_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,NC_AD4_F1,2,4,2,1
NC_AD4_F2_AGTTCC_L002_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,NC_AD4_F2,2,4,2,2
NC_AD4_F3_ATGTCA_L002_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,NC_AD4_F3,2,4,2,3
NC_AD4_M1_CCGTCC_L002_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,NC_AD4_M1,2,4,1,1
NC_AD4_M2_GTCCGC_L002_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,NC_AD4_M2,2,4,1,2
NC_AD4_M3_GTGAAA_L002_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,NC_AD4_M3,2,4,1,3
NC_L3L_F1_CGATGT_L001_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,NC_L3L_F1,2,1,2,1
NC_L3L_F2_TGACCA_L001_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,NC_L3L_F2,2,1,2,2
NC_L3L_F2_TGACCA_L008_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,NC_L3L_F4,2,1,2,4
NC_L3L_F3_ACAGTG_L001_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,NC_L3L_F3,2,1,2,3
NC_L3L_M1_GCCAAT_L001_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,NC_L3L_M1,2,1,1,1
NC_L3L_M2_CAGATC_L001_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,NC_L3L_M2,2,1,1,2
NC_L3L_M3_CTTGTA_L001_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,NC_L3L_M3,2,1,1,3
NC_PD1_F1_CGATGT_L002_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,NC_PD1_F1,2,3,2,1
NC_PD1_F1_CGATGT_L008_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,NC_PD1_F4,2,3,2,4
NC_PD1_F2_TGACCA_L002_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,NC_PD1_F2,2,3,2,2
NC_PD1_F3_ACAGTG_L002_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,NC_PD1_F3,2,3,2,3
NC_PD1_M1_GCCAAT_L002_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,NC_PD1_M1,2,3,1,1
NC_PD1_M2_CAGATC_L002_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,NC_PD1_M2,2,3,1,2
NC_PD1_M3_CTTGTA_L002_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,NC_PD1_M3,2,3,1,3
NC_PP1_F1_AGTCAA_L001_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,NC_PP1_F1,2,2,2,1
NC_PP1_F2_AGTTCC_L001_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,NC_PP1_F2,2,2,2,2
NC_PP1_F3_ATGTCA_L001_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,NC_PP1_F3,2,2,2,3
NC_PP1_M1_CCGTCC_L001_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,NC_PP1_M1,2,2,1,1
NC_PP1_M2_GTCCGC_L001_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,NC_PP1_M2,2,2,1,2
NC_PP1_M3_GTGAAA_L001_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,NC_PP1_M3,2,2,1,3
WA_AD4_F1_AGTCAA_L004_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,WA_AD4_F1,3,4,2,1
WA_AD4_F2_AGTTCC_L004_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,WA_AD4_F2,3,4,2,2
WA_AD4_F3_ATGTCA_L004_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,WA_AD4_F3,3,4,2,3
WA_AD4_F3_ATGTCA_L008_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,WA_AD4_F4,3,4,2,4
WA_AD4_M1_CCGTCC_L004_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,WA_AD4_M1,3,4,1,1
WA_AD4_M2_GTCCGC_L004_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,WA_AD4_M2,3,4,1,2
WA_AD4_M3_GTGAAA_L004_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,WA_AD4_M3,3,4,1,3
WA_L3L_F1_CGATGT_L001_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,WA_L3L_F1,3,1,2,1
WA_L3L_F1_CGATGT_L003_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,WA_L3L_F4,3,1,2,4
WA_L3L_F2_TGACCA_L003_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,WA_L3L_F2,3,1,2,2
WA_L3L_F3_ACAGTG_L003_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,WA_L3L_F3,3,1,2,3
WA_L3L_M1_GCCAAT_L003_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,WA_L3L_M1,3,1,1,1
WA_L3L_M1_GCCAAT_L007_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,WA_L3L_M4,3,1,1,4
WA_L3L_M2_CAGATC_L003_trimmed_paired_R1.fastq_I519.htcount.unstranded.tsv,WA_L3L_M2,3,1,1,2
